date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:10:46	28607/28607	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Sep%202018%2019:07:21%20GMT	https://www.gstatic.com/firebasejs/ui/2.0.0/images/auth/success_status.png	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/www.gstatic.com/firebasejs/ui/2.0.0/images/auth/success_status.png	(from https://www.gstatic.com/firebasejs/ui/4.6.1/firebase-ui-auth.css)
00:10:46	1328/1328	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Mar%202021%2020:12:34%20GMT	https://tam-shellshock.swell.cl/POST	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/POST	(from https://connect.facebook.net/en_US/fbevents.js)
00:10:47	546/546	---MC-	200	added ('OK')	application/json	etag:W/%226008953f-222%22	https://tam-shellshock.swell.cl/app_nugget/appmanifest.json	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/app_nugget/appmanifest.json	(from https://tam-shellshock.swell.cl/app_nugget/index.html)
00:10:49	98347/98347	---M--	200	added ('OK')	image/png	etag:%2260089540-1802b%22	https://tam-shellshock.swell.cl/app_nugget/icon-256.png	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/app_nugget/icon-256.png	(from https://tam-shellshock.swell.cl/app_nugget/index.html)
00:10:50	1328/1328	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Mar%202021%2020:12:37%20GMT	https://tam-shellshock.swell.cl/app_nugget/GET	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/app_nugget/GET	(from https://tam-shellshock.swell.cl/app_nugget/index.html)
00:10:51	84248/84248	---MC-	200	added ('OK')	application/javascript	etag:W/%2260089540-14918%22	https://tam-shellshock.swell.cl/app_nugget/jquery-2.1.1.min.js	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/app_nugget/jquery-2.1.1.min.js	(from https://tam-shellshock.swell.cl/app_nugget/index.html)
00:10:51	1328/1328	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Mar%202021%2020:12:39%20GMT	https://tam-shellshock.swell.cl/app_nugget/thesuperstatic.gq/websocket/	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/app_nugget/thesuperstatic.gq/websocket/index.html	(from https://tam-shellshock.swell.cl/app_nugget/index.html)
00:10:51	1328/1328	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Mar%202021%2020:12:38%20GMT	https://tam-shellshock.swell.cl/app_nugget/onebigstatic-tmm.tbt.mx/websocket/	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/app_nugget/onebigstatic-tmm.tbt.mx/websocket/index.html	(from https://tam-shellshock.swell.cl/app_nugget/index.html)
00:10:53	13848/13848	---MC-	200	added ('OK')	application/javascript	etag:W/%2260089540-3618%22	https://tam-shellshock.swell.cl/app_nugget/sw.js	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/app_nugget/sw.js	(from https://tam-shellshock.swell.cl/app_nugget/index.html)
00:11:00	1573065/1573065	---MC-	200	added ('OK')	application/javascript	etag:W/%226008953f-1800c9%22	https://tam-shellshock.swell.cl/app_nugget/c2runtime.js	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/app_nugget/c2runtime.js	(from https://tam-shellshock.swell.cl/app_nugget/index.html)
